id,type,attributes.contract,attributes.underlying_symbol,attributes.exp_date,attributes.expiration_type,attributes.type,attributes.strike,attributes.exchange,attributes.currency,attributes.open,attributes.high,attributes.low,attributes.last,attributes.last_size,attributes.change,attributes.pctchange,attributes.previous,attributes.previous_date,attributes.bid,attributes.bid_date,attributes.bid_size,attributes.ask,attributes.ask_date,attributes.ask_size,attributes.moneyness,attributes.volume,attributes.volume_change,attributes.volume_pctchange,attributes.open_interest,attributes.open_interest_change,attributes.open_interest_pctchange,attributes.volatility,attributes.volatility_change,attributes.volatility_pctchange,attributes.theoretical,attributes.delta,attributes.gamma,attributes.theta,attributes.vega,attributes.rho,attributes.tradetime,attributes.vol_oi_ratio,attributes.dte,attributes.midpoint,dte
QQQ240501C00441000-2024-04-19,options-eod,QQQ240501C00441000,QQQ,2024-05-01,weekly,call,441.0,NASDAQ,USD,0.7,0.7,0.24,0.24,1.0,,,,,0.22,2024-04-19 15:14:59,570.0,0.25,2024-04-19 15:14:59,74,,33.0,,,79.0,,,0.1982,,,0.24,0.041882,0.006267,-0.060379,0.064395,0.005162,2024-04-19,,,,
QQQ240501C00440000-2024-04-19,options-eod,QQQ240501C00440000,QQQ,2024-05-01,weekly,call,440.0,NASDAQ,USD,1.0,1.0,0.29,0.31,1.0,,,,,0.25,2024-04-19 15:14:59,560.0,0.3,2024-04-19 15:14:59,676,,107.0,,,547.0,,,0.1972,,,0.28,0.047324,0.006949,-0.066382,0.071054,0.005831,2024-04-19,,,,
QQQ240501C00435000-2024-04-19,options-eod,QQQ240501C00435000,QQQ,2024-05-01,weekly,call,435.0,NASDAQ,USD,1.87,1.88,0.56,0.6,2.0,,,,,0.6,2024-04-19 15:14:59,169.0,0.64,2024-04-19 15:14:59,233,,1185.0,,,166.0,,,0.1982,,,0.6,0.091618,0.011529,-0.11191,0.118454,0.011269,2024-04-19,,,,
QQQ240501C00438000-2024-04-19,options-eod,QQQ240501C00438000,QQQ,2024-05-01,weekly,call,438.0,NASDAQ,USD,1.12,1.12,0.4,0.4,1.0,,,,,0.37,2024-04-19 15:14:59,301.0,0.41,2024-04-19 15:14:59,638,,67.0,,,28.0,,,0.1999,,,0.4,0.06457,0.008764,-0.086161,0.090808,0.007949,2024-04-19,,,,
QQQ240501C00437000-2024-04-19,options-eod,QQQ240501C00437000,QQQ,2024-05-01,weekly,call,437.0,NASDAQ,USD,1.21,1.21,0.48,0.48,1.0,,,,,0.42,2024-04-19 15:14:59,277.0,0.47,2024-04-19 15:14:59,154,,11.0,,,25.0,,,0.198,,,0.45,0.071289,0.009553,-0.092228,0.098022,0.008775,2024-04-19,,,,
QQQ240501C00436000-2024-04-19,options-eod,QQQ240501C00436000,QQQ,2024-05-01,weekly,call,436.0,NASDAQ,USD,1.57,1.57,0.46,0.57,6.0,,,,,0.51,2024-04-19 15:14:59,174.0,0.55,2024-04-19 15:14:59,130,,123.0,,,193.0,,,0.1992,,,0.53,0.082207,0.010579,-0.103574,0.109241,0.010114,2024-04-19,,,,
QQQ240501C00439000-2024-04-19,options-eod,QQQ240501C00439000,QQQ,2024-05-01,weekly,call,439.0,NASDAQ,USD,1.06,1.06,0.44,0.45,113.0,,,,,0.31,2024-04-19 15:15:00,301.0,0.35,2024-04-19 15:15:00,769,,225.0,,,11.0,,,0.1982,,,0.33,0.055149,0.00781,-0.07543,0.080254,0.006793,2024-04-19,,,,
QQQ240501C00434000-2024-04-19,options-eod,QQQ240501C00434000,QQQ,2024-05-01,weekly,call,434.0,NASDAQ,USD,1.8,1.87,1.07,1.07,6.0,,,,,0.68,2024-04-19 15:14:59,389.0,0.74,2024-04-19 15:14:59,105,,70.0,,,12.0,,,0.1997,,,0.71,0.104801,0.012632,-0.12455,0.130714,0.012883,2024-04-19,,,,
QQQ240501C00433000-2024-04-19,options-eod,QQQ240501C00433000,QQQ,2024-05-01,weekly,call,433.0,NASDAQ,USD,2.32,2.32,0.8,0.86,1.0,,,,,0.82,2024-04-19 15:14:59,159.0,0.86,2024-04-19 15:14:59,99,,124.0,,,33.0,,,0.2029,,,0.86,0.121208,0.013795,-0.140545,0.145016,0.014888,2024-04-19,,,,
QQQ240501C00432000-2024-04-19,options-eod,QQQ240501C00432000,QQQ,2024-05-01,weekly,call,432.0,NASDAQ,USD,2.45,2.48,0.95,0.96,2.0,,,,,0.95,2024-04-19 15:14:59,33.0,1.0,2024-04-19 15:14:59,248,,168.0,,,53.0,,,0.2015,,,0.96,0.13333,0.014838,-0.149463,0.154958,0.016373,2024-04-19,,,,
