id,type,attributes.contract,attributes.underlying_symbol,attributes.exp_date,attributes.expiration_type,attributes.type,attributes.strike,attributes.exchange,attributes.currency,attributes.open,attributes.high,attributes.low,attributes.last,attributes.last_size,attributes.change,attributes.pctchange,attributes.previous,attributes.previous_date,attributes.bid,attributes.bid_date,attributes.bid_size,attributes.ask,attributes.ask_date,attributes.ask_size,attributes.moneyness,attributes.volume,attributes.volume_change,attributes.volume_pctchange,attributes.open_interest,attributes.open_interest_change,attributes.open_interest_pctchange,attributes.volatility,attributes.volatility_change,attributes.volatility_pctchange,attributes.theoretical,attributes.delta,attributes.gamma,attributes.theta,attributes.vega,attributes.rho,attributes.tradetime,attributes.vol_oi_ratio,attributes.dte,attributes.midpoint,trade_dt,expiry_dt,dte_calc
QQQ250509C00465000-2025-04-15,options-eod,QQQ250509C00465000,QQQ,2025-05-09,weekly,call,465.0,NASDAQ,USD,12.23,12.55,10.39,10.96,3,-0.74,-6.32,11.7,2025-04-14,10.78,2025-04-15 20:14:59,52,10.9,2025-04-15 20:14:59,12,-0.020000000000000018,294,82,38.68,2051,28,1.38,0.288,-0.015,-4.94,10.84,0.445945,0.011684,-0.298085,0.464034,0.127171,2025-04-15,0.14,24,10.84,2025-04-15,2025-05-09,24
QQQ250509C00463000-2025-04-15,options-eod,QQQ250509C00463000,QQQ,2025-05-09,weekly,call,463.0,NASDAQ,USD,13.83,13.99,11.42,11.62,1,-2.46,-17.47,14.08,2025-04-14,11.87,2025-04-15 20:14:59,27,11.99,2025-04-15 20:14:59,17,-0.010000000000000009,125,30,31.58,261,10,3.98,0.2931,-0.0145,-4.73,11.93,0.470126,0.011557,-0.305784,0.467014,0.133736,2025-04-15,0.48,24,11.93,2025-04-15,2025-05-09,24
QQQ250509C00437000-2025-04-15,options-eod,QQQ250509C00437000,QQQ,2025-05-09,weekly,call,437.0,NASDAQ,USD,30.37,30.37,29.46,29.46,1,0.08,0.27,29.38,2025-04-14,28.23,2025-04-15 20:14:59,1,30.7,2025-04-15 20:14:59,1,0.05,4,-3,-42.86,53,1,1.92,0.3521,-0.0141,-3.85,29.46,0.722815,0.008094,-0.318745,0.39303,0.198304,2025-04-15,0.08,24,29.47,2025-04-15,2025-05-09,24
QQQ250509C00436000-2025-04-15,options-eod,QQQ250509C00436000,QQQ,2025-05-09,weekly,call,436.0,NASDAQ,USD,29.24,30.24,29.24,30.24,1,-0.53,-1.72,30.77,2025-04-14,29.02,2025-04-15 20:14:59,1,31.48,2025-04-15 20:14:59,1,0.05,2,-1,-33.33,95,0,0.0,0.3543,-0.0145,-3.93,30.24,0.730161,0.007937,-0.316963,0.387828,0.200003,2025-04-15,0.02,24,30.25,2025-04-15,2025-05-09,24
QQQ250509C00435000-2025-04-15,options-eod,QQQ250509C00435000,QQQ,2025-05-09,weekly,call,435.0,NASDAQ,USD,31.05,31.58,31.05,31.58,1,0.38,1.22,31.2,2025-04-14,29.76,2025-04-15 20:14:59,1,32.0,2025-04-15 20:14:59,2,0.05,5,-61,-92.42,509,53,11.62,0.3709,-0.0019,-0.51,31.58,0.730441,0.007579,-0.33006,0.387627,0.199206,2025-04-15,0.01,24,30.88,2025-04-15,2025-05-09,24
QQQ250509C00434000-2025-04-15,options-eod,QQQ250509C00434000,QQQ,2025-05-09,weekly,call,434.0,NASDAQ,USD,31.39,32.29,31.27,32.29,1,-0.75,-2.27,33.04,2025-04-14,30.63,2025-04-15 20:14:59,1,33.05,2025-04-15 20:14:59,1,0.05,10,5,100.0,68,1,1.49,0.3711,-0.0022,-0.58,32.29,0.738252,0.007461,-0.326095,0.381877,0.201091,2025-04-15,0.15,24,31.84,2025-04-15,2025-05-09,24
QQQ250509C00433000-2025-04-15,options-eod,QQQ250509C00433000,QQQ,2025-05-09,weekly,call,433.0,NASDAQ,USD,35.63,35.63,35.63,35.63,1,2.47,7.45,33.16,2025-04-14,31.44,2025-04-15 20:14:59,1,33.85,2025-04-15 20:14:59,1,0.05,1,-3,-75.0,47,1,2.17,0.3617,-0.0151,-4.01,32.65,0.750813,0.007462,-0.3118,0.372167,0.20464,2025-04-15,0.02,24,32.65,2025-04-15,2025-05-09,24
QQQ250509C00431000-2025-04-15,options-eod,QQQ250509C00431000,QQQ,2025-05-09,weekly,call,431.0,NASDAQ,USD,36.65,36.65,33.65,33.84,1,-0.24,-0.7,34.08,2025-04-14,33.09,2025-04-15 20:14:59,1,35.46,2025-04-15 20:14:59,1,0.06,17,-66,-79.52,70,34,94.44,0.3544,-0.0236,-6.23,33.84,0.770321,0.007281,-0.294962,0.355921,0.209729,2025-04-15,0.24,24,34.28,2025-04-15,2025-05-09,24
QQQ250509C00430000-2025-04-15,options-eod,QQQ250509C00430000,QQQ,2025-05-09,weekly,call,430.0,NASDAQ,USD,37.49,37.49,34.54,35.52,1,-2.83,-7.38,38.35,2025-04-14,33.91,2025-04-15 20:14:59,1,36.27,2025-04-15 20:14:59,1,0.06,17,-4,-19.05,436,7,1.63,0.3808,-0.0007,-0.19,35.52,0.763933,0.006882,-0.318332,0.3614,0.206701,2025-04-15,0.04,24,35.09,2025-04-15,2025-05-09,24
QQQ250509C00429000-2025-04-15,options-eod,QQQ250509C00429000,QQQ,2025-05-09,weekly,call,429.0,NASDAQ,USD,35.41,36.09,35.41,36.09,5,-3.0,-7.67,39.09,2025-04-14,34.75,2025-04-15 20:14:59,1,37.09,2025-04-15 20:14:59,1,0.06,10,-6,-37.5,29,15,107.14,0.3761,-0.0086,-2.23,36.09,0.773624,0.006806,-0.30865,0.353027,0.209244,2025-04-15,0.34,24,35.92,2025-04-15,2025-05-09,24
