id,type,attributes.contract,attributes.underlying_symbol,attributes.exp_date,attributes.expiration_type,attributes.type,attributes.strike,attributes.exchange,attributes.currency,attributes.open,attributes.high,attributes.low,attributes.last,attributes.last_size,attributes.change,attributes.pctchange,attributes.previous,attributes.previous_date,attributes.bid,attributes.bid_date,attributes.bid_size,attributes.ask,attributes.ask_date,attributes.ask_size,attributes.moneyness,attributes.volume,attributes.volume_change,attributes.volume_pctchange,attributes.open_interest,attributes.open_interest_change,attributes.open_interest_pctchange,attributes.volatility,attributes.volatility_change,attributes.volatility_pctchange,attributes.theoretical,attributes.delta,attributes.gamma,attributes.theta,attributes.vega,attributes.rho,attributes.tradetime,attributes.vol_oi_ratio,attributes.dte,attributes.midpoint,exp_date,trade_dt,dte
QQQ231002C00422000,options-contracts,QQQ231002C00422000,QQQ,2023-10-02,weekly,call,422.0,NASDAQ,USD,,,,,,,,,,,2023-10-02 15:14:59,,0.01,2023-10-02 15:14:59,600.0,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,2023-10-02,,,,2023-10-02,2025-04-16,-562
QQQ231002C00421000,options-contracts,QQQ231002C00421000,QQQ,2023-10-02,weekly,call,421.0,NASDAQ,USD,,,,,,,,,,,2023-10-02 15:14:59,,0.01,2023-10-02 15:14:59,600.0,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,2023-10-02,,,,2023-10-02,2025-04-16,-562
QQQ231002C00420000,options-contracts,QQQ231002C00420000,QQQ,2023-10-02,weekly,call,420.0,NASDAQ,USD,,,,,,,,,,,2023-10-02 15:14:59,,0.01,2023-10-02 15:14:59,600.0,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,2023-10-02,,,,2023-10-02,2025-04-16,-562
QQQ231002C00419000,options-contracts,QQQ231002C00419000,QQQ,2023-10-02,weekly,call,419.0,NASDAQ,USD,,,,,,,,,,,2023-10-02 15:14:59,,0.01,2023-10-02 15:14:59,600.0,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,2023-10-02,,,,2023-10-02,2025-04-16,-562
QQQ231002C00418000,options-contracts,QQQ231002C00418000,QQQ,2023-10-02,weekly,call,418.0,NASDAQ,USD,,,,,,,,,,,2023-10-02 15:14:59,,0.01,2023-10-02 15:14:59,600.0,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,2023-10-02,,,,2023-10-02,2025-04-16,-562
QQQ231002C00417000,options-contracts,QQQ231002C00417000,QQQ,2023-10-02,weekly,call,417.0,NASDAQ,USD,,,,,,,,,,,2023-10-02 15:14:59,,0.01,2023-10-02 15:14:59,600.0,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,2023-10-02,,,,2023-10-02,2025-04-16,-562
QQQ231002C00416000,options-contracts,QQQ231002C00416000,QQQ,2023-10-02,weekly,call,416.0,NASDAQ,USD,,,,,,,,,,,2023-10-02 15:14:59,,0.01,2023-10-02 15:14:59,600.0,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,2023-10-02,,,,2023-10-02,2025-04-16,-562
QQQ231002C00415000,options-contracts,QQQ231002C00415000,QQQ,2023-10-02,weekly,call,415.0,NASDAQ,USD,,,,,,,,,,,2023-10-02 15:14:59,,0.01,2023-10-02 15:14:59,600.0,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,2023-10-02,,,,2023-10-02,2025-04-16,-562
QQQ231002C00414000,options-contracts,QQQ231002C00414000,QQQ,2023-10-02,weekly,call,414.0,NASDAQ,USD,,,,,,,,,,,2023-10-02 15:14:59,,0.01,2023-10-02 15:14:59,600.0,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,2023-10-02,,,,2023-10-02,2025-04-16,-562
QQQ231002C00397000,options-contracts,QQQ231002C00397000,QQQ,2023-10-02,weekly,call,397.0,NASDAQ,USD,,,,,,,,,,,2023-10-02 15:14:59,,0.01,2023-10-02 15:14:59,600.0,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,2023-10-02,,,,2023-10-02,2025-04-16,-562
