Date,Close/Last,Volume,Open,High,Low,type,strike,open,high,low,last,last_size,change,pctchange,previous,bid,bid_size,ask,ask_size,moneyness,volume,volume_change,volume_pctchange,open_interest,open_interest_change,open_interest_pctchange,volatility,volatility_change,volatility_pctchange,theoretical,delta,gamma,theta,vega,rho,vol_oi_ratio,dte,midpoint
2025-04-09,12.77,787748800,8.475,13.11,8.24,call,13.0,0.49,0.6,0.15,0.28,5,-0.92,-76.67,1.2,0.21,10,0.3,17,-0.35,6446,-3601,-35.84,5380,1825,51.34,2.1692,0.4475,25.99,0.28,0.19877,0.096414,-0.057829,0.00372,0.000313,1.2,7,0.26
2025-04-09,12.77,787748800,8.475,13.11,8.24,call,12.5,0.6,0.63,0.2,0.34,3,-1.11,-76.55,1.45,0.29,22,0.34,10,-0.3,5992,-1468,-19.68,4197,1605,61.92,2.1451,0.3915,22.33,0.34,0.233656,0.107081,-0.06282,0.004085,0.000366,1.43,7,0.32
2025-04-09,12.77,787748800,8.475,13.11,8.24,call,12.0,0.79,1.2,0.24,0.41,10,-1.31,-76.16,1.72,0.38,22,0.44,19,-0.25,12726,1265,11.04,4860,-2789,-36.46,2.1118,0.3391,19.13,0.41,0.273128,0.118085,-0.067159,0.004435,0.000426,2.62,7,0.41
2025-04-09,12.77,787748800,8.475,13.11,8.24,call,11.5,1.0,1.18,0.3,0.52,2,-1.5,-74.26,2.02,0.51,5,0.54,22,-0.1899999999999999,3313,424,14.68,2639,652,32.81,2.1273,0.3353,18.71,0.52,0.325502,0.126957,-0.073288,0.004803,0.000501,1.26,7,0.53
2025-04-09,12.77,787748800,8.475,13.11,8.24,call,11.0,1.27,1.31,0.4,0.65,9,-1.78,-73.25,2.43,0.65,64,0.67,29,-0.14,20853,13699,191.49,10936,-522,-4.56,2.1364,0.1903,9.78,0.65,0.382498,0.133923,-0.077997,0.005088,0.000582,1.91,7,0.66
2025-04-09,12.77,787748800,8.475,13.11,8.24,call,10.5,1.57,1.59,0.5,0.82,1,-2.12,-72.11,2.94,0.8,22,0.85,22,-0.0899999999999999,6305,4556,260.49,1086,-71,-6.14,2.1719,0.1568,7.78,0.82,0.446513,0.136517,-0.082202,0.005272,0.000667,5.81,7,0.83
2025-04-09,12.77,787748800,8.475,13.11,8.24,call,10.0,1.9,1.91,0.61,1.02,1,-2.13,-67.62,3.15,1.03,1,1.06,20,-0.04,15291,8087,112.26,4441,146,3.4,2.2554,0.2744,13.85,1.05,0.51519,0.132564,-0.086107,0.005316,0.000751,3.44,7,1.05
2025-04-09,12.77,787748800,8.475,13.11,8.24,call,9.5,1.95,1.95,0.81,1.26,1,-2.39,-65.48,3.65,1.26,17,1.3,7,0.01,3873,484,14.28,686,-203,-22.83,2.2618,0.0126,0.56,1.26,0.580298,0.129595,-0.084716,0.005212,0.00083,5.65,7,1.28
2025-04-09,12.77,787748800,8.475,13.11,8.24,put,13.0,2.47,4.7,2.16,3.86,2,2.48,179.71,1.38,3.45,7,4.1,11,0.35,722,-92,-11.3,5692,25,0.44,2.7041,1.0337,61.88,3.86,-0.730139,0.091799,-0.084106,0.004408,-0.001665,0.13,7,3.78
2025-04-09,12.77,787748800,8.475,13.11,8.24,put,12.5,2.15,4.3,1.7,3.35,1,2.2,191.3,1.15,3.1,12,3.25,12,0.3,613,-464,-43.08,1206,524,76.83,2.0797,0.3517,20.35,3.18,-0.776649,0.107918,-0.058171,0.003982,-0.001587,0.51,7,3.18
2025-04-09,12.77,787748800,8.475,13.11,8.24,put,10.5,1.0,2.54,0.96,1.68,1,1.16,223.08,0.52,1.65,7,1.72,8,0.09,1249,-296,-19.16,1517,-85,-5.31,2.1679,0.1626,8.11,1.68,-0.554093,0.136831,-0.080908,0.005271,-0.001151,0.82,7,1.69
